family,arm,n,accuracy,usd_per_query
code,army_debate,100,0.9400,0.000833
code,army_division,100,0.9400,0.001078
code,army_vote,300,0.9367,0.000529
code,frontier,100,0.9600,0.002691
code,probe_gptoss,20,1.0000,0.000076
code,probe_ministral,20,1.0000,0.000068
code,probe_qwen,20,1.0000,0.000113
code,self_consistency,300,0.9467,0.000408
math,army_debate,100,1.0000,0.001518
math,army_division,100,1.0000,0.001029
math,army_vote,450,0.8556,0.001987
math,frontier,150,0.6733,0.001954
math,probe_gptoss,20,0.8500,0.000038
math,probe_ministral,20,0.8500,0.000057
math,probe_qwen,20,0.2000,0.000581
math,self_consistency,450,0.7333,0.000414
mmlu_pro,army_debate,100,0.7400,0.002277
mmlu_pro,army_division,100,0.6300,0.001248
mmlu_pro,army_vote,450,0.6444,0.002229
mmlu_pro,frontier,150,0.7933,0.004977
mmlu_pro,probe_gptoss,20,0.7500,0.000125
mmlu_pro,probe_ministral,20,0.7000,0.000200
mmlu_pro,probe_qwen,20,0.4000,0.000519
mmlu_pro,self_consistency,450,0.6156,0.000832
