request_id,region,arm,latency_ms
us-000,us,old,173.6
us-000,us,new,186.4
us-001,us,old,174.3
us-001,us,new,166.5
us-002,us,old,156.7
us-002,us,new,151.4
us-003,us,old,207.8
us-003,us,new,218.4
us-004,us,old,205.9
us-004,us,new,212.1
us-005,us,old,189.9
us-005,us,new,194.5
us-006,us,old,138.3
us-006,us,new,159.7
us-007,us,old,192.7
us-007,us,new,205.1
us-008,us,old,137.7
us-008,us,new,94.1
us-009,us,old,157.8
us-009,us,new,146.1
us-010,us,old,187.6
us-010,us,new,186.5
us-011,us,old,193.0
us-011,us,new,177.0
us-012,us,old,187.7
us-012,us,new,197.6
us-013,us,old,163.5
us-013,us,new,206.4
us-014,us,old,193.9
us-014,us,new,223.8
us-015,us,old,164.5
us-015,us,new,146.0
us-016,us,old,171.4
us-016,us,new,168.7
us-017,us,old,195.8
us-017,us,new,202.0
us-018,us,old,168.8
us-018,us,new,144.9
us-019,us,old,167.0
us-019,us,new,197.5
us-020,us,old,159.8
us-020,us,new,165.9
us-021,us,old,190.7
us-021,us,new,153.4
us-022,us,old,181.2
us-022,us,new,213.9
us-023,us,old,129.6
us-023,us,new,121.6
us-024,us,old,177.3
us-024,us,new,156.9
us-025,us,old,192.4
us-025,us,new,190.9
us-026,us,old,143.4
us-026,us,new,164.1
us-027,us,old,196.7
us-027,us,new,220.4
us-028,us,old,216.0
us-028,us,new,225.1
us-029,us,old,183.0
us-029,us,new,150.5
us-030,us,old,195.4
us-030,us,new,180.1
us-031,us,old,168.7
us-031,us,new,137.1
us-032,us,old,155.8
us-032,us,new,142.5
us-033,us,old,212.2
us-033,us,new,161.4
us-034,us,old,143.6
us-034,us,new,149.5
us-035,us,old,216.1
us-035,us,new,230.5
us-036,us,old,132.5
us-036,us,new,69.5
us-037,us,old,188.9
us-037,us,new,170.5
us-038,us,old,152.0
us-038,us,new,176.4
us-039,us,old,207.5
us-039,us,new,211.5
us-040,us,old,186.1
us-040,us,new,197.0
us-041,us,old,219.9
us-041,us,new,235.3
us-042,us,old,193.0
us-042,us,new,206.7
us-043,us,old,140.8
us-043,us,new,172.8
us-044,us,old,203.9
us-044,us,new,217.1
us-045,us,old,130.7
us-045,us,new,114.8
us-046,us,old,201.1
us-046,us,new,155.8
us-047,us,old,175.4
us-047,us,new,200.9
us-048,us,old,147.2
us-048,us,new,187.5
us-049,us,old,193.8
us-049,us,new,190.0
eu-000,eu,old,228.1
eu-000,eu,new,174.4
eu-001,eu,old,223.0
eu-001,eu,new,181.7
eu-002,eu,old,203.5
eu-002,eu,new,123.1
eu-003,eu,old,246.0
eu-003,eu,new,176.7
eu-004,eu,old,198.0
eu-004,eu,new,151.6
eu-005,eu,old,256.6
eu-005,eu,new,175.5
eu-006,eu,old,185.5
eu-006,eu,new,112.1
eu-007,eu,old,216.3
eu-007,eu,new,138.8
eu-008,eu,old,255.1
eu-008,eu,new,159.4
eu-009,eu,old,251.5
eu-009,eu,new,149.8
eu-010,eu,old,200.3
eu-010,eu,new,146.1
eu-011,eu,old,248.2
eu-011,eu,new,199.7
eu-012,eu,old,228.6
eu-012,eu,new,162.2
eu-013,eu,old,223.8
eu-013,eu,new,168.2
eu-014,eu,old,215.6
eu-014,eu,new,152.5
eu-015,eu,old,234.3
eu-015,eu,new,164.3
eu-016,eu,old,239.1
eu-016,eu,new,183.2
eu-017,eu,old,270.3
eu-017,eu,new,208.4
eu-018,eu,old,209.3
eu-018,eu,new,130.0
eu-019,eu,old,219.7
eu-019,eu,new,172.8
eu-020,eu,old,211.6
eu-020,eu,new,151.2
eu-021,eu,old,265.9
eu-021,eu,new,131.8
eu-022,eu,old,191.9
eu-022,eu,new,128.0
eu-023,eu,old,230.0
eu-023,eu,new,165.9
eu-024,eu,old,209.2
eu-024,eu,new,155.6
eu-025,eu,old,227.1
eu-025,eu,new,144.0
eu-026,eu,old,280.8
eu-026,eu,new,219.6
eu-027,eu,old,206.1
eu-027,eu,new,133.7
eu-028,eu,old,214.4
eu-028,eu,new,142.8
eu-029,eu,old,151.8
eu-029,eu,new,69.6
eu-030,eu,old,245.2
eu-030,eu,new,146.0
eu-031,eu,old,218.3
eu-031,eu,new,172.2
eu-032,eu,old,241.4
eu-032,eu,new,208.7
eu-033,eu,old,177.5
eu-033,eu,new,98.6
eu-034,eu,old,211.5
eu-034,eu,new,157.1
eu-035,eu,old,247.3
eu-035,eu,new,110.2
eu-036,eu,old,247.2
eu-036,eu,new,141.0
eu-037,eu,old,237.1
eu-037,eu,new,129.8
eu-038,eu,old,224.4
eu-038,eu,new,184.3
eu-039,eu,old,216.3
eu-039,eu,new,151.0
eu-040,eu,old,239.9
eu-040,eu,new,173.5
eu-041,eu,old,217.8
eu-041,eu,new,186.1
eu-042,eu,old,246.2
eu-042,eu,new,168.9
eu-043,eu,old,288.6
eu-043,eu,new,190.0
eu-044,eu,old,242.9
eu-044,eu,new,166.2
eu-045,eu,old,223.3
eu-045,eu,new,170.9
eu-046,eu,old,225.6
eu-046,eu,new,171.5
eu-047,eu,old,181.8
eu-047,eu,new,74.1
eu-048,eu,old,235.4
eu-048,eu,new,141.3
eu-049,eu,old,194.3
eu-049,eu,new,87.6
apac-000,apac,old,291.7
apac-000,apac,new,310.3
apac-001,apac,old,296.8
apac-001,apac,new,273.4
apac-002,apac,old,260.0
apac-002,apac,new,231.5
apac-003,apac,old,279.2
apac-003,apac,new,318.9
apac-004,apac,old,237.7
apac-004,apac,new,276.8
apac-005,apac,old,284.7
apac-005,apac,new,280.3
apac-006,apac,old,210.7
apac-006,apac,new,245.9
apac-007,apac,old,257.6
apac-007,apac,new,242.5
apac-008,apac,old,270.0
apac-008,apac,new,280.2
apac-009,apac,old,297.5
apac-009,apac,new,271.9
apac-010,apac,old,288.4
apac-010,apac,new,325.6
apac-011,apac,old,296.3
apac-011,apac,new,291.8
apac-012,apac,old,241.4
apac-012,apac,new,266.9
apac-013,apac,old,262.9
apac-013,apac,new,266.0
apac-014,apac,old,295.6
apac-014,apac,new,289.0
apac-015,apac,old,202.6
apac-015,apac,new,192.9
apac-016,apac,old,213.7
apac-016,apac,new,234.1
apac-017,apac,old,267.9
apac-017,apac,new,252.6
apac-018,apac,old,259.8
apac-018,apac,new,280.6
apac-019,apac,old,262.0
apac-019,apac,new,295.1
apac-020,apac,old,258.5
apac-020,apac,new,284.5
apac-021,apac,old,297.3
apac-021,apac,new,337.5
apac-022,apac,old,243.2
apac-022,apac,new,265.2
apac-023,apac,old,213.1
apac-023,apac,new,186.0
apac-024,apac,old,210.9
apac-024,apac,new,237.7
apac-025,apac,old,229.2
apac-025,apac,new,228.9
apac-026,apac,old,255.2
apac-026,apac,new,254.5
apac-027,apac,old,245.2
apac-027,apac,new,251.1
apac-028,apac,old,304.8
apac-028,apac,new,305.9
apac-029,apac,old,273.3
apac-029,apac,new,298.3
apac-030,apac,old,255.1
apac-030,apac,new,223.6
apac-031,apac,old,246.1
apac-031,apac,new,273.0
apac-032,apac,old,218.8
apac-032,apac,new,203.9
apac-033,apac,old,285.2
apac-033,apac,new,305.0
apac-034,apac,old,260.2
apac-034,apac,new,280.3
apac-035,apac,old,264.1
apac-035,apac,new,234.7
apac-036,apac,old,220.9
apac-036,apac,new,204.9
apac-037,apac,old,283.1
apac-037,apac,new,268.9
apac-038,apac,old,237.4
apac-038,apac,new,218.2
apac-039,apac,old,221.7
apac-039,apac,new,218.8
apac-040,apac,old,230.5
apac-040,apac,new,239.6
apac-041,apac,old,201.0
apac-041,apac,new,209.2
apac-042,apac,old,244.0
apac-042,apac,new,195.4
apac-043,apac,old,278.1
apac-043,apac,new,271.2
apac-044,apac,old,204.2
apac-044,apac,new,182.4
apac-045,apac,old,267.3
apac-045,apac,new,255.8
apac-046,apac,old,279.5
apac-046,apac,new,298.2
apac-047,apac,old,276.7
apac-047,apac,new,284.8
apac-048,apac,old,293.3
apac-048,apac,new,309.8
apac-049,apac,old,271.3
apac-049,apac,new,219.2
